station_name,date,pm25
Anand Vihar,08/10/2015,192.04705882352943
Anand Vihar,09/10/2015,196.91666666666663
Anand Vihar,10/10/2015,291.16901408450707
Anand Vihar,11/10/2015,170.08602150537638
Anand Vihar,12/10/2015,163.2234042553191
Anand Vihar,13/10/2015,106.67441860465117
Anand Vihar,14/10/2015,85.84444444444446
Anand Vihar,15/10/2015,128.94565217391303
Anand Vihar,16/10/2015,185.29729729729732
Anand Vihar,18/10/2015,208.32142857142856
Anand Vihar,19/10/2015,235.53191489361703
Anand Vihar,20/10/2015,303.6376811594203
Anand Vihar,21/10/2015,215.26415094339626
Anand Vihar,22/10/2015,128.65
Anand Vihar,23/10/2015,195.71666666666667
Anand Vihar,24/10/2015,246.1413043478261
Anand Vihar,25/10/2015,178.5
Anand Vihar,26/10/2015,130.7872340425532
Anand Vihar,27/10/2015,130.29166666666666
Anand Vihar,28/10/2015,136.35555555555555
Anand Vihar,29/10/2015,118.43478260869566
Anand Vihar,30/10/2015,118.04166666666669
Civil Lines,01/06/2015,36.94578947368422
Civil Lines,02/06/2015,36.16197916666668
Civil Lines,03/06/2015,34.12718750000001
Civil Lines,04/06/2015,32.64229166666666
Civil Lines,05/06/2015,35.54208333333332
Civil Lines,06/06/2015,45.025833333333324
Civil Lines,07/06/2015,48.65843749999997
Civil Lines,08/06/2015,48.35791666666666
Civil Lines,09/06/2015,52.11802083333333
Civil Lines,10/06/2015,47.74604166666668
Civil Lines,11/06/2015,57.02989583333335
Civil Lines,12/06/2015,50.5461458333333
Civil Lines,13/06/2015,46.05114583333333
Civil Lines,14/06/2015,39.24114583333333
Civil Lines,15/06/2015,44.86135416666667
Civil Lines,16/06/2015,44.11937500000001
Civil Lines,17/06/2015,45.58510416666666
Civil Lines,18/06/2015,46.27531249999999
Civil Lines,19/06/2015,46.9778125
Civil Lines,20/06/2015,49.21583333333336
Civil Lines,21/06/2015,41.20302083333333
Civil Lines,22/06/2015,18.150000000000016
Civil Lines,23/06/2015,1.353125
Civil Lines,24/06/2015,0.14416666666666694
Civil Lines,25/06/2015,0.14854166666666666
Civil Lines,26/06/2015,12.856875000000048
Civil Lines,27/06/2015,49.36458333333334
Civil Lines,28/06/2015,51.60999999999998
Civil Lines,29/06/2015,51.60999999999998
Civil Lines,30/06/2015,51.60999999999999
Civil Lines,01/07/2015,51.60999999999998
Civil Lines,02/07/2015,51.60999999999998
Civil Lines,03/07/2015,51.60999999999998
Civil Lines,04/07/2015,68.99885416666655
Civil Lines,05/07/2015,51.47656249999998
Civil Lines,06/07/2015,40.70197916666668
Civil Lines,07/07/2015,41.18541666666668
Civil Lines,08/07/2015,39.98125000000001
Civil Lines,09/07/2015,39.64291666666666
Civil Lines,10/07/2015,43.02763636363637
Mandir Marg,01/06/2015,43.78571428571429
Mandir Marg,02/06/2015,31.93150684931507
Mandir Marg,03/06/2015,51.66666666666666
Mandir Marg,04/06/2015,79.24418604651162
Mandir Marg,05/06/2015,84.07692307692308
Mandir Marg,06/06/2015,65.84615384615384
Mandir Marg,07/06/2015,77.65116279069767
Mandir Marg,08/06/2015,76.5223880597015
Mandir Marg,09/06/2015,71.86363636363636
Mandir Marg,10/06/2015,50.64367816091954
Mandir Marg,11/06/2015,87.52
Mandir Marg,12/06/2015,63.206896551724135
Mandir Marg,13/06/2015,52.28571428571429
Mandir Marg,14/06/2015,70.02197802197803
Mandir Marg,15/06/2015,90.9010989010989
Mandir Marg,16/06/2015,95.0681818181818
Mandir Marg,17/06/2015,95.5108695652174
Mandir Marg,18/06/2015,104.01428571428572
Mandir Marg,19/06/2015,104.15
Mandir Marg,20/06/2015,62.44578313253012
Mandir Marg,21/06/2015,50.755555555555546
Mandir Marg,22/06/2015,83.3375
Mandir Marg,23/06/2015,106.76470588235294
Mandir Marg,24/06/2015,144.0
Mandir Marg,25/06/2015,36.21739130434783
Mandir Marg,26/06/2015,56.4125
Mandir Marg,27/06/2015,48.40963855421687
Mandir Marg,28/06/2015,63.214285714285715
Mandir Marg,29/06/2015,34.05333333333333
Mandir Marg,30/06/2015,51.43037974683544
Mandir Marg,01/07/2015,53.782051282051285
Mandir Marg,02/07/2015,53.9041095890411
Mandir Marg,03/07/2015,40.10869565217392
Mandir Marg,04/07/2015,84.0
Mandir Marg,05/07/2015,107.62745098039215
Mandir Marg,06/07/2015,50.3968253968254
Mandir Marg,07/07/2015,43.55737704918032
Mandir Marg,08/07/2015,56.45833333333334
Mandir Marg,09/07/2015,66.63736263736264
Mandir Marg,10/07/2015,37.95
Mandir Marg,11/07/2015,30.705882352941174
Mandir Marg,12/07/2015,23.387096774193548
Mandir Marg,13/07/2015,27.318181818181817
Mandir Marg,14/07/2015,29.488888888888887
Mandir Marg,15/07/2015,45.518518518518526
Mandir Marg,16/07/2015,49.42857142857143
Mandir Marg,17/07/2015,70.8048780487805
Mandir Marg,18/07/2015,63.952380952380956
Mandir Marg,19/07/2015,50.9125
Mandir Marg,20/07/2015,34.987951807228924
Mandir Marg,21/07/2015,33.55
Mandir Marg,22/07/2015,32.36231884057971
Mandir Marg,23/07/2015,33.4
Mandir Marg,24/07/2015,40.41772151898734
Mandir Marg,25/07/2015,41.67948717948718
Mandir Marg,26/07/2015,26.132352941176467
Mandir Marg,27/07/2015,20.741935483870968
Mandir Marg,28/07/2015,20.9
Mandir Marg,29/07/2015,26.47368421052632
Mandir Marg,30/07/2015,20.244444444444444
Mandir Marg,31/07/2015,23.863013698630137
Mandir Marg,01/08/2015,27.725
Mandir Marg,02/08/2015,35.861111111111114
Mandir Marg,03/08/2015,35.37333333333333
Mandir Marg,04/08/2015,40.25
Mandir Marg,05/08/2015,52.773809523809526
Mandir Marg,06/08/2015,46.76744186046512
Mandir Marg,07/08/2015,45.83720930232558
Mandir Marg,08/08/2015,54.45454545454545
Mandir Marg,09/08/2015,43.01190476190475
Mandir Marg,10/08/2015,57.6046511627907
Mandir Marg,11/08/2015,67.68918918918921
Mandir Marg,12/08/2015,49.22988505747128
Mandir Marg,13/08/2015,48.4
Mandir Marg,14/08/2015,54.28235294117647
Mandir Marg,15/08/2015,44.05681818181818
Mandir Marg,16/08/2015,42.44578313253012
Mandir Marg,17/08/2015,50.69767441860465
Mandir Marg,18/08/2015,47.34375
Mandir Marg,19/08/2015,23.764705882352942
Mandir Marg,20/08/2015,25.18840579710145
Mandir Marg,21/08/2015,31.18518518518519
Mandir Marg,22/08/2015,35.156626506024104
Mandir Marg,23/08/2015,33.0125
